Sample,WIDTH_OF_60_PERCENT,READ_GROUP,WIDTH_OF_70_PERCENT,READ_PAIRS,PAIR_ORIENTATION,MEDIAN_INSERT_SIZE,STANDARD_DEVIATION,WIDTH_OF_10_PERCENT,LIBRARY,MIN_INSERT_SIZE,SAMPLE,WIDTH_OF_50_PERCENT,WIDTH_OF_80_PERCENT,MAX_INSERT_SIZE,MEDIAN_ABSOLUTE_DEVIATION,WIDTH_OF_90_PERCENT,WIDTH_OF_99_PERCENT,MEAN_INSERT_SIZE,WIDTH_OF_20_PERCENT,WIDTH_OF_40_PERCENT,WIDTH_OF_30_PERCENT
R146fs_3,311,,1359,21087914,FR,243,310.852686,67,,46,,253,3567,1740452,126,9073,67453,316.147833,125,219,169
M143Vhom_3,287,,1137,24060998,FR,238,286.462711,59,,34,,241,3309,2017572,120,8765,68399,300.263861,109,203,155
hetdel_6,307,,1281,18919843,FR,245,306.059257,65,,48,,251,3457,1352243,125,8959,68393,316.600311,119,209,165
S21wt_3,301,,1357,26301908,FR,242,295.829477,61,,32,,245,3649,2017067,122,9331,68577,307.525522,115,205,159
delwt_3,415,,1733,25536387,FR,289,430.489366,91,,34,,337,4181,2028333,168,10421,73381,405.462512,167,279,229
C54wt_2,343,,1429,20995741,FR,260,354.190078,77,,38,,285,3729,1682809,142,9443,68667,346.365562,141,245,193
C54wt_6,311,,1289,19234183,FR,244,318.201588,67,,43,,259,3449,1153065,129,8909,68041,319.366745,125,225,173
NA_2,351,,1503,25352673,FR,262,343.562549,73,,44,,275,3809,1845799,137,9573,70153,348.563315,133,221,181
N12K_3,311,,1357,16986368,FR,242,309.421458,67,,46,,251,3529,2198402,125,8995,68933,315.882054,123,215,167
C54Y_5,355,,1455,31681424,FR,266,369.140535,77,,44,,295,3753,1498455,147,9579,70979,359.756307,143,247,197
S21Thom_2,311,,1371,29791089,FR,244,312.957103,65,,42,,257,3657,2479278,128,9351,69249,315.909864,121,221,169
