Sample,PCT_CODING_BASES,RIBOSOMAL_BASES,PCT_MRNA_BASES,CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,PCT_RIBOSOMAL_BASES,PCT_INTRONIC_BASES,MEDIAN_3PRIME_BIAS,PF_ALIGNED_BASES,LIBRARY,MEDIAN_5PRIME_BIAS,PCT_USABLE_BASES,PF_BASES,READ_GROUP,IGNORED_READS,SAMPLE,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_5PRIME_TO_3PRIME_BIAS,PCT_INTERGENIC_BASES,PCT_CORRECT_STRAND_READS,INCORRECT_STRAND_READS,CODING_BASES,UTR_BASES,PCT_UTR_BASES
R146fs_3,0.558207,,0.838871,51765825,0.496827,,0.075856,0.206125,9475330967,,0.097592,0.829447,9582987117,,0,,807986832,718760686,0.574743,0.085273,0.981559,972549,5289200581,2659382868,0.280664
M143Vhom_3,0.538962,,0.831837,52009047,0.480183,,0.089246,0.221695,9469845819,,0.089147,0.824054,9559286108,,0,,747333676,845142193,0.471543,0.078917,0.996138,201622,5103884383,2773485567,0.292875
hetdel_6,0.542902,,0.827271,39909954,0.487292,,0.080442,0.218797,7407370349,,0.094683,0.819216,7480211301,,0,,683597172,595867363,0.563647,0.092286,0.995438,182910,4021474421,2106431393,0.28437
S21wt_3,0.542077,,0.82777,58658570,0.511869,,0.082811,0.19486,10849021363,,0.081578,0.819378,10960126954,,0,,970110693,898421546,0.534924,0.089419,0.992078,468387,5881004250,3099484874,0.285693
delwt_3,0.572704,,0.845024,58600251,0.504361,,0.069884,0.183522,10829520280,,0.106564,0.838282,10916617532,,0,,921505785,756807379,0.708988,0.085092,0.996764,190242,6202107877,2949099239,0.27232
C54wt_2,0.548762,,0.838343,44199776,0.496244,,0.076658,0.198682,7961104861,,0.091419,0.830753,8033841116,,0,,676683467,610284784,0.539356,0.084999,0.996888,137971,4368748303,2305388307,0.289581
C54wt_6,0.547503,,0.827182,40537679,0.478368,,0.07585,0.226531,7387810199,,0.107376,0.819006,7461561565,,0,,716381593,560362268,0.578973,0.096968,0.996579,139167,4044850262,2066216076,0.279679
NA_2,0.552621,,0.841069,56524123,0.494549,,0.070241,0.212242,10391057420,,0.082442,0.833088,10490609203,,0,,921577977,729878405,0.483576,0.08869,0.997082,165434,5742313814,2997287224,0.288449
N12K_3,0.56369,,0.833149,37607690,0.503856,,0.082667,0.198683,6966929377,,0.103762,0.823495,7048607216,,0,,586503291,575933097,0.678316,0.084184,0.974953,966167,3927187275,1877305714,0.26946
C54Y_5,0.557866,,0.833503,69241254,0.486823,,0.0754,0.200695,12701304438,,0.105842,0.826213,12813359650,,0,,1157061058,957672716,0.648232,0.091098,0.996718,227983,7085627709,3500942955,0.275636
S21Thom_2,0.55483,,0.836469,68476314,0.504013,,0.079585,0.195641,12560304937,,0.096819,0.827614,12694681504,,0,,1054385911,999617987,0.666312,0.083946,0.981925,1260481,6968836481,3537464558,0.281638
NA_1,0.546448,,0.835328,40972535,0.483362,,0.075622,0.231842,7408583357,,0.098951,0.826744,7485504346,,0,,659731862,560252489,0.519243,0.08905,0.996759,133241,4048408392,2140190614,0.28888
M143wt_1,0.552152,,0.836244,48790248,0.48573,,0.083209,0.217344,8897119827,,0.095252,0.828151,8984062412,,0,,716638962,740321172,0.580676,0.080547,0.995904,200667,4912558759,2527600934,0.284092
M143wt_5,0.548078,,0.829567,37563381,0.494051,,0.072871,0.217282,6902557046,,0.086647,0.821755,6968171818,,0,,673429522,502994228,0.516095,0.097562,0.996829,119504,3783138662,1942994634,0.281489
C54wt_1,0.551237,,0.835298,50251076,0.485119,,0.08036,0.206277,9082917743,,0.0969,0.827963,9163391893,,0,,766063551,729906853,0.554088,0.084341,0.996798,161441,5006838296,2580109043,0.284062
C54Y_6,0.56398,,0.842422,64353963,0.487175,,0.070659,0.195742,11625656482,,0.109287,0.834804,11731759763,,0,,1010483240,821458758,0.641303,0.086918,0.996863,202485,6556639332,3237075152,0.278442
S21Thom_3,0.556449,,0.837552,42413803,0.511755,,0.078611,0.193591,7777087960,,0.092645,0.828305,7863902742,,0,,652010636,611365260,0.633599,0.083837,0.982087,773607,4327553085,2186158979,0.281103
C54wt_5,0.568304,,0.84169,47582184,0.485403,,0.069268,0.223591,8492619278,,0.110576,0.833072,8580472052,,0,,756196412,588269866,0.607918,0.089042,0.99677,154181,4826388553,2321764447,0.273386
N12wt_2,0.549502,,0.829353,39059097,0.516845,,0.082804,0.206963,7213560001,,0.082191,0.820315,7293042892,,0,,633661088,597308615,0.538835,0.087843,0.981193,748658,3963867374,2018722924,0.279851
R146wt_4,0.566286,,0.839041,45271825,0.499679,,0.076779,0.19289,8221115266,,0.115553,0.83016,8309061851,,0,,692056093,631207925,0.749144,0.08418,0.995837,189246,4655506515,2242344733,0.272754
S21Thet_5,0.544606,,0.82386,63166910,0.506125,,0.088553,0.191069,11694165487,,0.095039,0.815515,11813817295,,0,,1024263088,1035551653,0.649126,0.087588,0.985279,943799,6368713095,3265637651,0.279254
P26wt_3,0.556356,,0.832124,45356242,0.501279,,0.086836,0.207265,8358234358,,0.106739,0.822355,8457524037,,0,,677349675,725793329,0.676075,0.08104,0.97301,1258104,4650153280,2304938074,0.275769
P26R_4,0.562713,,0.844724,57355405,0.510906,,0.066717,0.198967,10644551587,,0.086876,0.836115,10754160497,,0,,942668499,710170959,0.548038,0.088559,0.985521,842662,5989826713,3001885416,0.282011
hetdel_4,0.548733,,0.83146,44553473,0.479519,,0.078548,0.210945,8202525184,,0.102965,0.823852,8278269834,,0,,738162629,644294630,0.567894,0.089992,0.995585,197561,4500993872,2319074053,0.282727
M143wt_6,0.526016,,0.81477,61156076,0.48914,,0.095334,0.209015,11371807662,,0.085605,0.807303,11476980934,,0,,1022284584,1084116473,0.481467,0.089896,0.996152,236227,5981751779,3283654826,0.288754
hetdel_2,0.538435,,0.823551,54156778,0.499126,,0.08547,0.209816,10053142537,,0.085434,0.816037,10145708444,,0,,914623204,859241324,0.524097,0.090979,0.996356,198044,5412961588,2866316421,0.285116
M143Vhet_1,0.560991,,0.83892,59069223,0.484439,,0.071063,0.222066,10540465141,,0.107821,0.830325,10649583135,,0,,948819011,749035888,0.577778,0.090017,0.996308,218901,5913110828,2929499414,0.277929
R146wt_1,0.554985,,0.835403,48620371,0.499178,,0.076446,0.206486,9017422245,,0.086163,0.827075,9108220368,,0,,794902153,689342341,0.530912,0.088152,0.994856,251416,5004530514,2528647237,0.280418
M143Vhet_4,0.547519,,0.835515,46400788,0.489215,,0.072492,0.219036,8407908987,,0.088661,0.827617,8488153262,,0,,773469172,609503314,0.498657,0.091993,0.996728,152320,4603486647,2421449854,0.287997
NA_6,0.542519,,0.836089,53167215,0.509689,,0.071066,0.197468,10024405317,,0.071676,0.829895,10099227886,,0,,930711616,712399313,0.470718,0.092845,0.996816,169810,5438425994,2942868394,0.29357
S21wt_5,0.569809,,0.841516,54471470,0.515537,,0.077101,0.176242,10134786025,,0.093782,0.833912,10227198482,,0,,824793332,781404935,0.703331,0.081382,0.994904,278995,5774889782,2753697976,0.271708
C54Y_4,0.561553,,0.839476,47132672,0.480283,,0.071918,0.206637,8371804945,,0.116722,0.831137,8455801173,,0,,741795346,602081699,0.661337,0.088606,0.996706,155787,4701211657,2326716243,0.277923
NA_5,0.532545,,0.821692,33821563,0.489581,,0.085714,0.216981,6344117200,,0.083038,0.814351,6401307042,,0,,587428819,543777175,0.476329,0.092594,0.996484,119348,3378529559,1834381647,0.289147
R146wt_2,0.575734,,0.839918,66889625,0.519804,,0.071795,0.178277,12115592042,,0.108937,0.831284,12241423884,,0,,1069652929,869838682,0.782625,0.088287,0.996277,249969,6975360289,3200740142,0.264184
C54wt_3,0.474538,,0.733717,32168299,0.483511,,0.090391,0.213225,6614786063,,0.114586,0.725784,6687089308,,0,,1163487100,597917148,0.64867,0.175892,0.996007,128977,3138969068,1714412747,0.259179
N12wt_1,0.55093,,0.815197,42886885,0.50201,,0.093997,0.189468,8329208800,,0.098748,0.807759,8405900258,,0,,756346418,782919028,0.645444,0.090807,0.986456,588856,4588808193,2201135161,0.264267
delwt_4,0.548016,,0.825482,56399137,0.505938,,0.079622,0.169807,10765962591,,0.102849,0.819318,10846957368,,0,,1021649306,857204045,0.7056,0.094896,0.996412,203074,5899920259,2987188981,0.277466
M143Vhom_1,0.5437,,0.828693,43163564,0.482771,,0.087323,0.208899,7950828095,,0.096345,0.821007,8025261934,,0,,667744901,694289231,0.565206,0.083984,0.996157,166498,4322863729,2265930234,0.284993
M143Vhet_3,0.536718,,0.826905,49805123,0.488057,,0.089434,0.224558,9211160580,,0.083151,0.819172,9298109818,,0,,770617644,823792793,0.451026,0.083661,0.996202,189863,4943795801,2672954342,0.290186
S21Thet_6,0.557647,,0.829422,53938366,0.504518,,0.077515,0.207884,9970431885,,0.101882,0.820006,10084923138,,0,,927879380,772853114,0.641364,0.093063,0.983498,905048,5559986376,2709713015,0.271775
S21Thet_4,0.535768,,0.817346,55880051,0.513061,,0.08932,0.191354,10484703869,,0.089788,0.809195,10590319783,,0,,978581296,936493859,0.617496,0.093334,0.97874,1213810,5617371671,2952257043,0.281578
M143Vhom_5,0.539565,,0.827412,45366357,0.487919,,0.078877,0.216508,8363785963,,0.087462,0.819271,8446903587,,0,,783776917,659708618,0.481746,0.093711,0.996217,172267,4512804820,2407495608,0.287848
P26wt_1,0.547913,,0.830183,54823409,0.49777,,0.083905,0.207134,10115902747,,0.090762,0.82112,10227546978,,0,,869083105,848772731,0.600161,0.085913,0.979099,1170333,5542633959,2855412952,0.28227
delwt_6,0.561125,,0.836585,45525409,0.487613,,0.072921,0.205907,8347436229,,0.107733,0.82848,8429091872,,0,,755397465,608702060,0.614879,0.090495,0.996686,151358,4683958751,2299377953,0.275459
hetdel_5,0.565225,,0.842362,50357007,0.496536,,0.067482,0.20647,9080443656,,0.100804,0.834085,9170548615,,0,,818658855,612764285,0.619467,0.090156,0.99535,235231,5132496711,2516523805,0.277137
S21wt_1,0.550644,,0.835256,50546824,0.506857,,0.084269,0.204703,9284315989,,0.092383,0.826299,9384961757,,0,,747156381,782376175,0.591031,0.080475,0.984736,783487,5112349345,2642434088,0.284613
N12wt_4,0.552849,,0.832614,53034600,0.498994,,0.085432,0.21963,9743219992,,0.092704,0.823102,9855815112,,0,,798494946,832387200,0.572961,0.081954,0.984867,814921,5386526962,2725810884,0.279765
S21wt_4,0.549096,,0.835448,52397928,0.51317,,0.080809,0.208508,9545299624,,0.085753,0.826232,9651769147,,0,,799344497,771350053,0.561765,0.083742,0.987432,666932,5241283167,2733321907,0.286353
R146fs_4,0.5663,,0.850481,62386826,0.489468,,0.069683,0.205809,11043944637,,0.107171,0.840748,11171797541,,0,,881713202,769570153,0.659402,0.079837,0.993847,386216,6254183843,3138477439,0.284181
P26wt_4,0.552175,,0.842574,47062065,0.508823,,0.067943,0.211861,8576875007,,0.096996,0.833049,8674938175,,0,,767489862,582736390,0.582563,0.089484,0.979763,972050,4735932402,2490716353,0.290399
N12K_1,0.547165,,0.826701,51902260,0.506075,,0.086217,0.193635,9695120942,,0.088279,0.817971,9798597682,,0,,844261892,835888459,0.577831,0.087081,0.976592,1244066,5304826253,2710144338,0.279537
P26R_6,0.549325,,0.832221,63265581,0.50595,,0.075025,0.195404,11635576246,,0.090285,0.823166,11763567529,,0,,1079250750,872953875,0.60216,0.092754,0.977385,1463846,6391713865,3291657756,0.282896
R146wt_3,0.557397,,0.833166,85557056,0.508307,,0.085548,0.184857,15684952997,,0.106203,0.824963,15840915894,,0,,1274958895,1341823221,0.699576,0.081285,0.994751,451501,8742739405,4325431476,0.275769
N12wt_5,0.556086,,0.839599,52456344,0.50272,,0.078715,0.223886,9570873902,,0.086047,0.829717,9684855944,,0,,781810836,753368636,0.519444,0.081686,0.985849,752982,5322229574,2713464856,0.283513
R146fs_2,0.559683,,0.842575,56490659,0.499299,,0.075555,0.206847,10187835060,,0.099715,0.833402,10299970059,,0,,834080452,769740526,0.626895,0.08187,0.990119,563746,5701957035,2882057047,0.282892
NA_3,0.526426,,0.80395,39994131,0.491907,,0.078385,0.214595,7646824684,,0.087359,0.796107,7722162313,,0,,899761792,599398767,0.483593,0.117665,0.996859,126005,4025487545,2122176580,0.277524
S21Thet_1,0.553681,,0.832157,43676528,0.500916,,0.083383,0.21488,8119663631,,0.097955,0.822101,8218976693,,0,,685789871,677041711,0.591618,0.08446,0.978397,964398,4495699444,2261132605,0.278476
R146wt_6,0.567832,,0.843014,55753332,0.500686,,0.073281,0.190083,10121755063,,0.105844,0.834286,10227645022,,0,,847236554,741734707,0.680916,0.083705,0.996446,198837,5747461269,2785322533,0.275182
M143Vhet_6,0.541228,,0.831457,40580653,0.493142,,0.082183,0.208137,7417320762,,0.085305,0.823414,7489768525,,0,,640560107,609580187,0.485919,0.08636,0.996412,146146,4014460367,2152720101,0.290229
M143wt_4,0.512763,,0.78288,43900399,0.486981,,0.084055,0.217093,8421987286,,0.093807,0.774299,8515330395,,0,,1120666162,707912923,0.518847,0.133064,0.9962,167458,4318482033,2274926168,0.270118
R146fs_1,0.573243,,0.848908,66169970,0.522523,,0.070014,0.187656,11927758634,,0.092996,0.839986,12054452838,,0,,967079685,835105395,0.619167,0.081078,0.980123,1341913,6837505497,3288068057,0.275665
S21wt_2,0.540062,,0.818912,60213364,0.494037,,0.087469,0.20966,11185616200,,0.084421,0.810049,11308004314,,0,,1047185989,978395229,0.554562,0.093619,0.995586,266979,6040931309,3119103673,0.27885
P26R_5,0.566109,,0.839114,59655051,0.514792,,0.06981,0.193974,10932169794,,0.100414,0.83014,11050355877,,0,,995660885,763169659,0.653909,0.091076,0.981634,1116129,6188804971,2984534279,0.273005
P26wt_2,0.554492,,0.834358,50316997,0.49989,,0.079702,0.211846,9222860890,,0.097821,0.824733,9330494400,,0,,792610372,735084087,0.58957,0.08594,0.980938,977779,5114000235,2581166196,0.279866
S21Thet_2,0.564337,,0.845772,47046844,0.507533,,0.074154,0.206674,8485928750,,0.084059,0.836208,8582988507,,0,,679496777,629268869,0.536732,0.080073,0.991579,399524,4788926685,2388236419,0.281435
R146fs_6,0.555309,,0.841841,59842801,0.497499,,0.074426,0.203095,10813230565,,0.090906,0.833016,10927786863,,0,,905420470,804787203,0.558099,0.083733,0.99584,249983,6004685119,3098337773,0.286532
M143Vhom_4,0.537133,,0.819557,35718304,0.504334,,0.085839,0.200225,6719765496,,0.084351,0.812306,6779741556,,0,,635722466,576815027,0.540769,0.094605,0.996481,126135,3609404590,1897823413,0.282424
M143Vhom_2,0.551528,,0.835226,52845651,0.488862,,0.077875,0.217019,9685859241,,0.092468,0.827396,9777520007,,0,,841691408,754289032,0.526492,0.086899,0.996262,198257,5342024212,2747854589,0.283698
R146fs_5,0.553546,,0.844832,77591433,0.500499,,0.07153,0.207861,13981759762,,0.092733,0.835647,14135447833,,0,,1169395228,1000120331,0.555067,0.083637,0.995632,340426,7739549366,4072694837,0.291286
N12K_4,0.524857,,0.807456,37442843,0.513391,,0.101548,0.195861,7123847905,,0.082884,0.798932,7199852470,,0,,648242656,723414884,0.541417,0.090996,0.981071,722446,3739001581,2013188784,0.282599
delwt_1,0.531082,,0.818452,50289795,0.493719,,0.081417,0.212634,9428977384,,0.090558,0.811323,9511825315,,0,,944131702,767678875,0.514286,0.100131,0.99577,213611,5007558556,2709608251,0.28737
