Sample,numMultipleAlignPEProper,FR,numMultipleAlignPELongDiscFR,numMultipleAlignPEProperRR,numUniqAlignPEProperFF,numUniqAlignPEProper,numUniqAlignPELongConcFR,numUniqAlignPELong,FF,numMultipleAlignPELongDiscFF,numERCCUniqAlignDisc,numUniqAlign,numERCCUniqAlignPEDisc,numMultipleAlignSE,numUniqAlignSE,numUniqAlignPELongConcFF,RR,numMultipleAlignPELongConcRR,numUniqAlignPELongDiscRR,numAlignments,RF,numUniqAlignPELongDisc,numMultipleAlignPELong,numUniqAlignPEProperFR,numMultipleAlignPELongDiscRR,numERCCUniqAlignPE,numUniqAlignPELongDiscFF,numUnmapped,numUniqAlignPELongConc,numERCCMultipleAlignDisc,numERCCMultipleAlignPEDisc,numUniqAlignPEProperRR,numUniqAlignPELongDiscFR,numUniqAlignPE,numUniqAlignPELongConcRR,numMultipleAlignPELongConc,numMultipleAlignPEProperFR,numMultipleAlignPE,numMultipleAlignPELongConcFR,numERCCMultipleAlignPE,numMultipleAlignPEProperFF,numMultipleAlignPELongDisc,numMultipleAlign,numMultipleAlignPELongConcFF
R146fs_3,0,32482282,0,0,0,68500550,0,0,0,0,0,68500550,0,0,0,0,0,0,0,77851452,36018268,0,0,68500550,0,0,0,9350902,0,0,0,0,0,68500550,0,0,0,0,0,0,0,0,0,0
M143Vhom_3,0,32785458,0,0,0,68426272,0,0,0,0,0,68426272,0,0,0,0,0,0,0,75503068,35640814,0,0,68426272,0,0,0,7076796,0,0,0,0,0,68426272,0,0,0,0,0,0,0,0,0,0
hetdel_6,0,25121586,0,0,0,53123174,0,0,0,0,0,53123174,0,0,0,0,0,0,0,59055308,28001588,0,0,53123174,0,0,0,5932134,0,0,0,0,0,53123174,0,0,0,0,0,0,0,0,0,0
S21wt_3,0,36816328,0,0,0,77843320,0,0,0,0,0,77843320,0,0,0,0,0,0,0,85891206,41026992,0,0,77843320,0,0,0,8047886,0,0,0,0,0,77843320,0,0,0,0,0,0,0,0,0,0
delwt_3,0,36647908,0,0,0,76940036,0,0,0,0,0,76940036,0,0,0,0,0,0,0,84240226,40292128,0,0,76940036,0,0,0,7300190,0,0,0,0,0,76940036,0,0,0,0,0,0,0,0,0,0
R146wt_5,0,27352310,0,0,0,57147000,0,0,0,0,0,57147000,0,0,0,0,0,0,0,64334594,29794690,0,0,57147000,0,0,0,7187594,0,0,0,0,0,57147000,0,0,0,0,0,0,0,0,0,0
C54wt_2,0,27147010,0,0,0,57341140,0,0,0,0,0,57341140,0,0,0,0,0,0,0,62577526,30194130,0,0,57341140,0,0,0,5236386,0,0,0,0,0,57341140,0,0,0,0,0,0,0,0,0,0
C54wt_6,0,25298290,0,0,0,53858352,0,0,0,0,0,53858352,0,0,0,0,0,0,0,60361142,28560062,0,0,53858352,0,0,0,6502790,0,0,0,0,0,53858352,0,0,0,0,0,0,0,0,0,0
NA_2,0,34707484,0,0,0,73317882,0,0,0,0,0,73317882,0,0,0,0,0,0,0,81992022,38610398,0,0,73317882,0,0,0,8674140,0,0,0,0,0,73317882,0,0,0,0,0,0,0,0,0,0
N12K_3,0,23916826,0,0,0,50437020,0,0,0,0,0,50437020,0,0,0,0,0,0,0,56961792,26520194,0,0,50437020,0,0,0,6524772,0,0,0,0,0,50437020,0,0,0,0,0,0,0,0,0,0
